,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
170,09-21,22,7,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
171,09-22,41,9,1,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
172,09-23,22,7,8,0,2,1,0,9,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
173,09-24,28,6,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
174,09-25,19,11,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
175,09-26,14,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
176,09-27,24,4,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
177,09-29,23,11,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
178,09-30,16,11,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0
179,10-01,33,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
180,10-02,21,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0
181,10-03,22,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0
182,10-04,21,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
183,10-05,32,11,6,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
184,10-06,64,47,5,4,2,0,4,6,1,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0
185,10-07,74,65,8,4,11,0,6,9,1,6,0,2,0,0,5,0,3,0,2,3,2,0,0,0,0,0
186,10-08,126,74,21,5,13,2,21,3,0,2,0,4,0,0,3,0,3,0,8,0,4,0,0,0,0,0
187,10-09,168,103,18,9,6,3,19,4,3,4,0,0,0,0,6,0,1,0,2,0,4,0,0,0,0,0
188,10-10,163,100,16,8,9,4,16,6,3,0,0,4,0,0,5,0,1,0,2,0,4,0,0,0,0,0
189,10-11,127,75,18,5,9,8,6,5,0,2,0,7,0,0,6,0,0,0,0,0,4,0,0,0,0,0
190,10-12,185,68,18,3,11,2,2,7,2,1,0,2,0,0,2,0,2,0,1,0,0,0,0,0,0,0
191,10-13,273,91,15,3,2,4,19,9,3,2,0,7,0,0,3,0,0,0,1,0,0,0,0,0,0,0
192,10-14,174,62,13,6,12,4,5,4,0,3,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0
193,10-15,213,58,10,4,6,1,4,4,1,2,0,3,0,0,1,0,2,0,2,0,0,0,0,0,0,0
194,10-16,217,54,11,5,6,6,4,5,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0
195,10-17,143,47,11,7,11,1,6,8,0,1,0,4,0,0,1,0,1,0,3,7,4,0,0,0,0,0
196,10-18,157,60,10,7,14,1,12,25,3,1,0,4,0,0,2,0,3,0,2,0,5,0,0,0,0,0
197,10-19,182,47,6,10,7,2,19,16,0,2,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0
198,10-20,204,65,8,14,3,3,13,6,0,1,0,4,0,0,3,0,3,0,1,0,1,0,0,0,0,0
199,10-21,230,55,13,9,13,3,8,6,1,3,0,4,0,0,5,0,4,0,0,1,1,0,0,0,0,0
200,10-22,215,40,20,6,11,2,14,8,3,3,0,7,0,0,5,0,3,0,1,0,3,0,0,0,0,0
201,10-23,281,60,20,6,9,10,15,9,0,3,0,1,0,0,6,0,3,0,1,0,2,0,0,0,0,0
202,10-24,303,79,14,18,14,9,13,9,6,1,0,2,0,0,6,0,4,0,1,0,2,0,0,0,0,0
203,10-25,342,74,17,17,14,9,13,8,1,11,0,4,0,0,11,0,10,0,3,0,3,0,0,0,0,0
204,10-26,358,70,13,18,3,9,17,8,2,7,0,3,0,0,8,0,4,0,5,1,1,0,0,0,0,0
205,10-27,251,84,17,15,14,9,21,10,3,4,0,0,0,0,9,0,3,0,4,0,1,0,0,0,0,0
206,10-28,242,92,20,15,6,11,15,16,2,4,0,1,0,0,5,0,1,0,2,0,0,0,0,0,0,0
207,10-29,232,101,25,14,8,12,13,8,0,5,0,2,0,0,8,0,5,0,2,0,0,0,0,0,0,0
208,10-30,200,120,27,10,16,12,12,6,5,6,0,5,0,0,12,0,6,2,4,0,1,0,0,0,0,0
209,10-31,175,114,24,18,12,9,11,8,3,0,0,4,0,0,10,0,5,2,2,0,2,0,0,0,0,0
210,11-01,191,98,25,17,14,9,10,8,3,0,0,7,0,0,4,0,7,4,7,0,1,0,0,0,0,0
