,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
75,06-14,4041,2369,1627,627,887,241,557,375,138,381,0,139,0,0,367,0,86,148,194,365,136,0,0,0,0,0
76,06-15,4061,2374,1640,628,888,241,557,375,138,381,0,140,0,0,367,0,86,148,194,365,136,0,0,0,0,0
77,06-16,4089,2379,1683,628,890,242,560,375,140,382,0,140,0,0,368,0,86,148,195,365,137,0,0,0,0,0
78,06-18,4165,2392,1728,629,893,242,560,375,141,382,0,140,0,0,371,0,86,148,195,365,137,0,0,0,0,0
79,06-19,4182,2400,1729,631,895,242,560,376,141,382,0,140,0,0,372,0,86,149,195,365,140,0,0,0,0,0
80,06-20,4193,2409,1737,633,896,242,560,377,141,382,0,140,0,0,374,0,86,149,195,365,142,0,0,0,0,0
81,06-21,4209,2421,1766,633,896,242,561,378,142,382,0,140,0,0,374,0,86,149,195,365,142,0,0,0,0,0
82,06-22,4213,2426,1773,633,897,242,561,378,142,382,0,142,0,0,374,0,86,149,195,365,145,0,0,0,0,0
83,06-23,4254,2428,1781,634,897,242,564,378,142,382,0,142,0,0,374,0,86,149,197,365,145,0,0,0,0,0
84,06-24,4269,2431,1788,636,897,242,565,378,142,382,0,142,0,0,376,0,86,149,199,365,145,0,0,0,0,0
85,06-25,4300,2434,1797,637,897,242,567,378,142,382,0,142,0,0,379,0,86,149,200,365,145,0,0,0,0,0
86,06-26,4327,2436,1832,637,897,242,567,378,142,382,0,142,0,0,379,0,86,149,200,365,145,0,0,0,0,0
87,06-27,4355,2442,1858,638,897,242,567,378,142,382,0,142,0,0,379,0,87,149,201,365,146,0,0,0,0,0
88,06-28,4370,2447,1864,640,897,242,568,379,142,382,0,142,0,0,380,0,87,149,201,365,146,0,0,0,0,0
89,06-29,4388,2452,1867,640,897,242,568,380,142,382,0,142,0,0,381,0,88,149,201,365,146,0,0,0,0,0
90,06-30,4418,2462,1870,641,897,242,568,381,142,382,0,142,0,0,381,0,88,149,201,365,146,0,0,0,0,0
91,07-01,4451,2470,1873,641,897,243,568,381,142,382,0,142,0,0,381,0,88,149,201,365,146,0,0,0,0,0
92,07-02,4478,2478,1876,641,897,243,570,381,142,382,0,142,0,0,381,0,89,149,201,365,147,0,0,0,0,0
93,07-03,4504,2488,1882,641,898,243,572,381,142,382,0,142,0,0,381,0,89,149,201,365,148,0,0,0,0,0
94,07-04,4522,2493,1883,641,899,243,572,384,142,382,0,142,0,0,383,0,89,149,201,365,150,0,0,0,0,0
95,07-05,4534,2493,1903,641,899,243,573,387,143,383,0,142,0,0,383,0,89,149,201,365,150,0,0,0,0,0
